Project_ID,Project_Type,Area,Floor_Count,Structure_Type,Contract_Type,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Delay,Labor_Total,Equipment_Count,Resource_Utilization,Change_Order_Count,Change_Cost_Ratio,Defect_Count,Defect_Severity,Repair_Cost,Accident_Count,Risk_Level,Temperature,Rainfall
P000039,Infrastructure,72074,4,Concrete,CM-at-Risk,137989611959,173050012565,0.25408,409,462,0.129904,111,9,0.8853,1,0.03,4,0.3456,334953233,4,0.2764,12.1,45.5
P000040,Building,6125,29,Steel,Turnkey,32243702493,44537323429,0.381272,259,365,0.409286,54,2,0.6996,2,0.0289,2,0.774,204934005,1,0.2207,20.6,116.9
P000041,Building,5876,5,Steel,DBB,17260290576,21937104389,0.270958,147,193,0.315624,52,4,0.6481,0,0.005,2,0.0823,9602774,1,0.2247,15.6,23.5
P000042,Building,16204,17,Steel,Turnkey,92458113188,135445588333,0.46494,319,416,0.305707,58,6,0.7506,5,0.0673,6,0.2644,504852653,3,0.3065,10.4,39.8
P000043,Building,19337,13,Composite,DBB,67622692624,79925965320,0.18194,240,262,0.093379,107,3,0.4,2,0.0186,5,0.6445,354832871,1,0.1935,2.9,49.9
P000044,Remodeling,2793,4,Composite,Design-Build,13398532824,17616297167,0.314793,168,196,0.167136,20,1,0.7321,3,0.0437,6,0.3597,75561171,2,0.2498,17.1,75.8
P000045,Building,17125,29,RC,DBB,42842167117,51256111685,0.196394,310,331,0.070075,124,6,0.8078,3,0.0526,4,0.1291,55738240,0,0.1331,13.9,77.6
P000046,Infrastructure,15420,1,Steel,DBB,41032063724,55676817587,0.35691,201,260,0.298313,92,9,0.5303,2,0.0315,4,0.2522,55574931,2,0.247,40.0,12.2
P000047,Building,10209,21,RC,CM-at-Risk,27020979472,33530495552,0.240906,163,178,0.094009,52,6,0.631,3,0.0482,3,0.2637,79047310,3,0.1489,7.4,61.5
P000048,Infrastructure,72242,4,RC,Turnkey,197981125847,245498773842,0.240011,604,657,0.089155,97,7,0.7728,4,0.0548,3,0.4555,1173213113,1,0.1601,12.7,141.2
P000049,Infrastructure,45936,3,RC,Design-Build,100762113034,124638703338,0.23696,390,441,0.131291,165,10,0.7464,3,0.0443,3,0.5141,460174799,1,0.1397,20.7,29.4
P000050,Building,3780,25,RC,DBB,17005653489,21097383774,0.24061,157,193,0.23366,29,3,0.6046,1,0.0118,9,0.4332,281442750,0,0.2171,19.8,60.1
P000051,Remodeling,11717,8,RC,CM-at-Risk,58783253559,67382714505,0.146291,346,382,0.106688,90,4,0.8248,0,0.0068,4,0.5067,195490901,0,0.0895,5.0,44.9
P000052,Remodeling,3955,2,Steel,DBB,10243740485,14116734862,0.378084,114,136,0.199629,28,2,0.4677,3,0.0469,6,0.0876,11242269,2,0.2402,18.3,42.2
P000053,Remodeling,1523,11,RC,CM-at-Risk,6777014733,8416720224,0.241951,116,127,0.098362,13,1,0.8978,5,0.051,7,0.3925,87142286,0,0.1869,9.4,58.5
P000054,Remodeling,6865,13,Masonry,Design-Build,16901962495,19554269155,0.156923,115,123,0.076733,71,3,0.6704,1,0.0171,3,0.1838,16173095,1,0.1421,17.8,30.0
P000055,Infrastructure,49642,3,Composite,CM-at-Risk,142339228088,171821810062,0.207129,320,328,0.026379,176,11,0.5088,3,0.0551,4,0.3748,854795764,0,0.1421,17.5,3.1
P000056,Remodeling,2627,13,Composite,DBB,13644903378,17112387159,0.254123,141,171,0.218381,31,2,0.6987,1,0.013,3,0.6611,38715050,0,0.1339,15.4,20.0
P000057,Building,12472,28,SRC,DBB,87480575511,101044788666,0.155054,265,283,0.06982,111,6,0.8588,3,0.0365,3,0.1405,159516746,1,0.1593,28.0,10.2
P000058,Building,39222,31,Composite,Turnkey,102046671423,122881132140,0.204166,334,346,0.036344,129,10,0.7275,3,0.0564,3,0.1494,198406975,0,0.1162,17.9,156.4
P000059,Building,21325,21,RC,DBB,78635009489,101217018339,0.287175,255,330,0.294791,84,5,0.6789,1,0.0234,9,0.1561,346728811,2,0.2968,17.8,1.3
P000060,Building,56996,25,RC,DBB,344109963177,426261399346,0.238736,713,800,0.122808,229,13,0.4615,4,0.0503,3,0.1665,389895344,0,0.1563,25.3,9.2
P000061,Building,18699,20,Concrete,DBB,62289220346,80305692149,0.289239,217,259,0.194146,92,4,0.5167,4,0.0621,9,0.2089,400746282,0,0.2106,28.8,13.0
P000062,Building,15908,15,Steel,Design-Build,85668786139,96000613084,0.120602,425,443,0.042631,51,2,0.6557,1,0.0179,2,0.1541,79230081,1,0.164,18.3,14.5
P000063,Remodeling,13223,17,RC,Design-Build,36822575631,48364133269,0.313437,168,192,0.146299,80,5,0.7752,3,0.0514,1,0.1455,6051829,0,0.219,26.3,19.6
P000064,Building,7272,10,RC,Design-Build,32350366283,37502356215,0.159256,221,227,0.028997,67,4,0.7474,2,0.037,2,0.1747,18562105,1,0.1387,21.8,14.9
P000065,Building,11815,32,Masonry,DBB,74264522603,80638943636,0.085834,285,306,0.074168,84,3,0.8336,0,0.0038,3,0.2401,144362537,0,0.1308,27.2,9.6
P000066,Infrastructure,78606,1,RC,Turnkey,176244151275,233132238423,0.32278,542,643,0.18681,167,17,0.768,3,0.0481,7,0.6143,2487073452,4,0.2688,3.6,94.2
P000067,Building,14919,19,Steel,Design-Build,70343356195,88548779525,0.258808,314,364,0.161089,112,7,0.8104,2,0.0321,12,0.4627,762842243,5,0.303,20.4,6.1
P000068,Remodeling,9739,8,Composite,Design-Build,42657128465,53187296569,0.246856,204,225,0.103032,69,7,0.7614,2,0.0386,2,0.0561,5229903,0,0.1359,13.8,50.7
P000069,Building,14150,14,Concrete,DBB,62055423513,80759796935,0.301414,275,340,0.237198,96,8,0.8631,4,0.0412,9,0.3343,340414522,1,0.1731,7.6,122.5
P000070,Remodeling,8799,2,RC,DBB,33205349987,47313771910,0.424884,182,226,0.242261,37,2,0.7655,2,0.0324,8,0.5667,513278346,3,0.2826,21.5,14.9
P000071,Remodeling,2808,13,Steel,DBB,11772927147,15530810173,0.319197,147,183,0.250648,46,2,0.5432,1,0.0179,3,0.3102,16228472,1,0.2424,23.0,33.1
P000072,Building,12352,16,Concrete,DBB,49667991879,58951734249,0.186916,180,209,0.162243,67,7,0.9007,1,0.0171,2,0.4116,154669047,2,0.2459,21.5,50.0
P000073,Building,7739,27,RC,CM-at-Risk,25795355188,33780900679,0.309573,138,193,0.405139,70,7,0.8065,1,0.0301,1,0.2445,14749764,2,0.2587,13.3,21.5
P000074,Remodeling,3571,10,RC,DBB,11872499220,16109069969,0.356839,111,129,0.163936,26,1,0.8986,5,0.0503,9,0.2272,63851146,1,0.2271,8.1,63.6
P000075,Infrastructure,5793,1,RC,CM-at-Risk,14824447877,18561720835,0.252102,137,149,0.094238,27,2,0.6726,4,0.0601,7,0.1961,46765036,2,0.2342,14.0,0.6
P000076,Infrastructure,22911,1,SRC,DBB,52296428984,69659837038,0.332019,241,312,0.294637,111,5,0.7404,1,0.031,5,0.2188,263837878,2,0.2791,19.5,57.9
P000077,Remodeling,7439,10,Steel,DBB,23218422187,35988554389,0.55,208,264,0.272103,54,4,0.7729,6,0.1002,10,0.4024,331106147,3,0.3159,18.2,43.8
P000078,Building,5256,9,Composite,Design-Build,20077635065,22801989444,0.135691,136,162,0.193566,25,2,0.6211,0,0.0001,4,0.2936,83476570,2,0.2155,14.2,94.5
P000079,Building,4400,5,SRC,Design-Build,14179238921,15528790523,0.095178,98,105,0.072567,49,5,0.6766,2,0.0237,3,0.1839,11622598,0,0.1599,25.8,9.1
P000080,Building,7321,17,SRC,Design-Build,29150552137,31503526404,0.080718,138,149,0.082288,38,4,0.6007,0,0.0013,5,0.0913,53207320,1,0.1755,17.8,7.8
P000081,Remodeling,1763,8,SRC,DBB,5006201074,6371872702,0.272796,90,109,0.212594,24,2,0.8328,1,0.0118,5,0.1909,20027216,2,0.2167,10.1,0.9
P000082,Infrastructure,140363,2,Concrete,DBB,312062516825,378302466958,0.212265,523,591,0.130032,194,9,0.686,3,0.0447,11,0.5528,5522382229,0,0.2101,17.5,12.7
P000083,Building,9410,7,SRC,DBB,20595234085,24647366986,0.196751,167,187,0.12167,35,3,0.8306,2,0.0631,8,0.423,159989777,0,0.1625,9.2,39.0
P000084,Building,35958,9,RC,DBB,107807124274,134054493592,0.243466,446,540,0.212322,114,5,0.7562,1,0.017,5,0.632,694271808,2,0.2718,5.3,19.4
P000085,Building,16067,16,Steel,DBB,73142674771,90938068114,0.243297,286,341,0.19255,85,6,0.5493,1,0.0337,4,0.5903,587210219,2,0.1981,16.0,23.4
P000086,Building,13725,14,Composite,DBB,36738960137,50218337655,0.366896,205,265,0.296022,97,5,0.7665,3,0.0404,6,0.1593,122161384,3,0.3346,9.6,2.0
P000087,Infrastructure,24614,1,SRC,DBB,105669410272,146697672198,0.38827,422,503,0.194098,73,6,0.5182,4,0.0741,7,0.1824,629939390,3,0.2703,20.7,32.3
P000088,Infrastructure,16335,3,Composite,DBB,55139723898,71959876114,0.305046,236,313,0.327621,105,9,0.8948,2,0.0287,7,0.2057,199329960,1,0.2897,12.5,35.5
P000089,Remodeling,1175,18,Concrete,Design-Build,6506856259,7518802544,0.15552,98,112,0.148877,29,2,0.7284,0,0.0007,7,0.209,45939641,1,0.2117,15.7,199.3
P000090,Building,12168,18,Steel,DBB,73716835740,92257873114,0.251517,374,462,0.235729,42,2,0.6376,1,0.0123,9,0.3913,1110060008,2,0.2232,1.7,45.7
P000091,Building,12263,10,RC,Design-Build,49370490502,60171470191,0.218774,201,220,0.096679,94,3,0.8104,3,0.0565,6,0.5147,203651429,1,0.1581,10.3,49.6
P000092,Infrastructure,76763,2,Concrete,DBB,148013601728,179360662369,0.211785,501,553,0.105346,157,12,0.9627,2,0.0349,3,0.5565,825031044,1,0.162,9.2,70.9
P000093,Remodeling,4965,5,Steel,Design-Build,21512387837,28369203311,0.318738,168,197,0.173226,24,1,0.783,4,0.0566,7,0.2833,60489681,2,0.2552,22.2,8.6
P000094,Infrastructure,32252,1,RC,DBB,143548732203,192946721928,0.34412,524,659,0.257898,85,4,0.7252,2,0.0384,3,0.3593,711294483,1,0.2337,19.1,14.1
P000095,Remodeling,5688,17,SRC,DBB,17052030140,23527146388,0.379727,178,234,0.316348,44,5,0.7691,2,0.0315,4,0.1146,36493281,1,0.2414,7.5,16.9
P000096,Building,17557,2,SRC,DBB,54380873586,68131784423,0.252863,261,309,0.185411,85,10,0.5833,3,0.0315,5,0.5072,243160618,1,0.2146,-7.6,41.8
P000097,Infrastructure,23639,3,SRC,DBB,95364816315,133178873280,0.39652,384,502,0.309593,121,8,0.8247,5,0.0586,4,0.5474,488579788,1,0.2727,14.9,8.2
P000098,Building,14778,13,Concrete,DBB,78513149418,96331787191,0.226951,419,487,0.164499,68,4,0.6531,3,0.049,8,0.2763,471324445,0,0.1062,14.5,93.1
P000099,Building,9611,13,Steel,CM-at-Risk,32380104773,34787597942,0.074351,244,263,0.079437,64,5,0.8456,0,0.0041,2,0.5202,48710107,0,0.1154,21.1,38.8
P000100,Building,4232,16,RC,CM-at-Risk,25035770395,28098120793,0.122319,142,147,0.038563,29,3,0.8141,2,0.0428,4,0.1653,74949200,1,0.1328,19.7,9.1
P000101,Building,9001,20,Concrete,CM-at-Risk,32085181722,39920736035,0.244211,195,236,0.210412,56,4,0.52,2,0.0271,5,0.0974,73370583,2,0.2298,18.8,15.8
P000102,Infrastructure,53071,1,RC,Design-Build,145398181298,170768709952,0.17449,323,341,0.057325,173,17,0.5394,2,0.0239,2,0.2178,81031792,1,0.1931,20.8,28.9
P000103,Building,20924,19,Composite,DBB,51958348063,59975625085,0.154302,261,287,0.101161,82,2,0.6889,2,0.0191,6,0.2142,226090525,1,0.1965,16.1,70.9
P000104,Infrastructure,155097,2,RC,Design-Build,278989790084,357366949791,0.280932,694,809,0.166482,158,9,0.8816,4,0.0804,6,0.1491,559597239,1,0.2336,24.4,55.2
P000105,Remodeling,8785,10,Masonry,CM-at-Risk,42154139926,57464102005,0.36319,305,369,0.210399,45,2,0.5722,3,0.058,7,0.2778,210306202,2,0.2627,3.2,8.2
P000106,Building,13182,16,Concrete,Design-Build,34468006735,41411414351,0.201445,274,334,0.220769,58,4,0.9115,1,0.0193,5,0.3897,322069337,1,0.1993,6.7,34.7
P000107,Building,4935,27,RC,CM-at-Risk,30654633312,36025417032,0.175203,229,243,0.064236,63,4,0.6465,3,0.0459,7,0.242,95798444,1,0.1635,11.7,70.5
P000108,Remodeling,9109,13,RC,DBB,27034269027,32108385049,0.187692,165,187,0.13813,86,9,0.778,0,0.0028,3,0.1418,49901098,1,0.1046,6.0,47.6
P000109,Building,71011,16,Concrete,Turnkey,401196325305,447412537194,0.115196,875,909,0.039912,180,21,0.5959,2,0.0201,3,0.2832,1406227357,0,0.1109,16.2,60.6
P000110,Building,9711,9,Composite,CM-at-Risk,33503954334,37610232481,0.122561,267,290,0.08959,39,2,0.6045,1,0.018,6,0.2098,120181681,0,0.0945,25.6,21.9
P000111,Building,11759,19,RC,Design-Build,35212829205,39448193088,0.120279,163,181,0.112278,94,7,0.9276,1,0.0181,5,0.2444,160913979,0,0.159,11.0,92.7
P000112,Building,16876,8,RC,Design-Build,58763163469,69214427144,0.177854,291,308,0.059847,107,4,0.7101,3,0.043,3,0.043,22919822,0,0.1542,15.5,23.2
P000113,Remodeling,2687,8,Steel,Design-Build,8262779672,11179879670,0.353041,90,103,0.154222,41,1,0.9538,4,0.0705,7,0.2996,73332742,2,0.2547,9.9,15.5
P000114,Remodeling,3942,16,Masonry,Design-Build,16835821079,24550415192,0.458225,128,167,0.305066,26,2,0.6991,4,0.0569,8,0.2976,200037247,2,0.2857,23.4,55.0
P000115,Infrastructure,49990,2,RC,Design-Build,163773804900,199182029066,0.216202,519,677,0.304579,124,12,0.9281,0,0.0051,6,0.3902,1636077357,0,0.2303,15.1,16.2
P000116,Remodeling,14784,7,Composite,DBB,62733134270,91248919584,0.454557,270,356,0.321246,100,7,0.8477,3,0.0292,11,0.2102,650701145,4,0.3019,8.2,79.1
P000117,Remodeling,2338,16,RC,DBB,9749653010,14255523396,0.462157,108,129,0.200395,23,1,0.7452,4,0.0688,3,0.3256,42944559,3,0.2816,17.1,90.6
P000118,Building,6497,3,Steel,DBB,28168528141,31221602232,0.108386,196,216,0.105336,46,5,0.6849,0,0.0026,4,0.2078,55621496,0,0.1306,21.1,23.3
P000119,Remodeling,5157,10,Composite,DBB,10089777199,13073324316,0.2957,116,138,0.193453,60,5,0.6995,3,0.0363,2,0.1553,5908549,0,0.1453,14.3,34.7
P000120,Infrastructure,22007,3,RC,DBB,75448284628,95431592742,0.264861,406,451,0.111369,73,4,0.4366,2,0.0235,4,0.1608,78106166,3,0.2378,21.2,56.1
P000121,Remodeling,3200,12,RC,DBB,7582639033,10382096285,0.369193,123,167,0.36354,43,2,0.5393,3,0.0251,4,0.2386,22058093,0,0.2416,14.3,43.4
P000122,Remodeling,3257,6,Composite,Design-Build,11535131604,15755317176,0.365855,97,125,0.295447,21,2,0.7428,1,0.0146,1,0.1549,8411860,3,0.2906,20.8,9.8
P000123,Building,5837,9,RC,Turnkey,25385038106,29757560149,0.172248,215,240,0.116875,44,2,0.7078,1,0.0168,2,0.2266,47611774,0,0.2368,4.6,322.5
P000124,Building,25855,24,Composite,DBB,155279316217,187173532488,0.205399,324,386,0.193462,158,11,0.7298,1,0.017,4,0.4609,654428200,0,0.1598,4.7,177.2
P000125,Building,7926,9,SRC,Design-Build,27346549025,30693192348,0.122379,203,216,0.064788,57,4,0.8785,2,0.0229,4,0.219,48413985,2,0.1837,26.9,22.1
P000126,Building,17042,18,SRC,Design-Build,76271208295,86573999382,0.135081,399,435,0.091,49,4,0.7495,1,0.0169,2,0.4878,272315585,0,0.1585,13.2,77.9
P000127,Remodeling,903,14,RC,DBB,2581004920,3019553789,0.169914,90,104,0.160404,11,1,0.9048,1,0.0103,3,0.5951,12838260,0,0.1154,17.2,99.4
P000128,Remodeling,16480,7,Steel,DBB,59441987988,73232469759,0.231999,343,398,0.161465,59,5,0.7982,1,0.012,4,0.2889,226195592,2,0.2506,10.5,53.6
P000129,Building,4038,19,SRC,DBB,10714431828,14305062936,0.335121,90,110,0.232457,55,1,0.5135,3,0.0436,2,0.0818,7064544,1,0.1723,27.9,29.8
P000130,Infrastructure,29451,2,Masonry,DBB,115801939072,133693801866,0.154504,483,544,0.126756,132,15,0.8978,1,0.0158,2,0.4227,116069440,0,0.1384,23.6,1.6
P000131,Building,16905,24,Composite,CM-at-Risk,86741396547,94087091713,0.084685,417,407,-0.02353,77,2,0.879,3,0.0403,2,0.3215,178833103,1,0.1576,16.8,164.4
P000132,Building,10133,15,SRC,DBB,57537085850,75398956318,0.310441,255,304,0.192204,81,7,0.8339,2,0.0235,5,0.2498,341229474,4,0.274,2.9,141.4
P000133,Building,10990,13,RC,Turnkey,56612503271,72801527931,0.285962,221,256,0.158859,94,3,0.5051,2,0.0346,3,0.4175,343740820,5,0.3395,20.1,21.4
P000134,Building,4976,2,RC,CM-at-Risk,17524539760,20103415982,0.147158,191,200,0.048182,56,5,0.913,2,0.0204,6,0.3533,39789435,3,0.2652,1.3,61.4
P000135,Remodeling,6565,15,Masonry,DBB,34155885887,49727622574,0.455902,239,322,0.35108,55,4,0.8229,3,0.0429,2,0.4523,153963032,2,0.2274,2.1,57.3
P000136,Building,7149,15,Composite,Design-Build,20163240206,22463664281,0.11409,120,126,0.052506,39,3,0.8137,2,0.0284,2,0.4269,83430698,0,0.072,19.8,71.0
P000137,Infrastructure,59891,1,Steel,DBB,147020536157,206356260303,0.403588,408,504,0.236852,178,19,0.5804,3,0.0351,4,0.5146,586133993,3,0.2581,20.9,27.6
P000138,Infrastructure,52566,1,Concrete,DBB,224491519542,281491487794,0.253907,647,704,0.088425,104,6,0.768,3,0.0517,2,0.3192,205176294,1,0.1693,13.8,59.5
P000139,Building,22766,1,Masonry,Design-Build,66769776161,76375810317,0.143868,348,365,0.051563,84,7,0.8214,3,0.0559,3,0.0839,26703798,0,0.1836,26.4,57.3
P000140,Remodeling,4038,8,Composite,Turnkey,7216953463,8966696613,0.242449,101,127,0.257627,35,2,0.9356,1,0.0186,2,0.043,2685199,0,0.1195,16.0,7.6
P000141,Remodeling,4322,15,Steel,CM-at-Risk,19757309717,23107932114,0.169589,120,135,0.126314,29,2,0.8694,2,0.0222,8,0.2462,162492486,0,0.1787,12.4,51.6
P000142,Building,13022,15,Steel,DBB,36795393890,41714496508,0.133688,226,253,0.120975,98,4,0.6917,1,0.0123,3,0.1075,37040275,0,0.1911,32.8,39.8
P000143,Building,103488,24,Concrete,Design-Build,614235388539,687668457709,0.119552,873,872,-0.00066,242,25,0.7125,1,0.017,6,0.5135,8260682587,1,0.1704,10.0,133.1
P000144,Building,14281,10,Steel,Turnkey,70384360621,89217315145,0.267573,257,331,0.29044,41,1,0.6418,1,0.0306,2,0.3261,52224598,1,0.254,16.0,30.0
P000145,Building,22634,23,Masonry,DBB,112557308397,138281718444,0.228545,308,326,0.061499,84,8,0.7104,3,0.0452,3,0.4314,725563380,2,0.2182,23.0,11.5
P000146,Building,15045,16,Concrete,CM-at-Risk,50408928350,58371068991,0.157951,321,326,0.015842,81,6,0.6707,4,0.0469,3,0.2619,145499564,0,0.1306,20.3,120.6
P000147,Infrastructure,18918,3,Steel,CM-at-Risk,35275003148,45422457478,0.287667,265,307,0.158604,73,6,0.7673,3,0.0465,5,0.4753,251749117,3,0.2289,7.9,129.0
P000148,Infrastructure,2500,1,Composite,Design-Build,11304037369,13657639685,0.208209,143,168,0.178352,25,2,0.7066,0,0.0195,7,0.4277,112759768,3,0.2812,30.3,2.4
P000149,Building,43353,9,RC,DBB,211077998854,282189121277,0.336895,412,485,0.177663,143,14,0.8149,2,0.0288,2,0.1804,273813977,7,0.3902,14.3,2.8
P000150,Building,28534,20,Composite,DBB,175369686625,198876239420,0.13404,496,583,0.177284,73,7,0.7998,0,0.0017,4,0.5795,1278699970,0,0.1335,19.3,56.1
P000151,Remodeling,6601,17,RC,Turnkey,27969493118,39927989748,0.427555,174,218,0.254684,32,1,0.6452,2,0.0352,2,0.1944,35434106,3,0.2978,22.7,116.8
P000152,Building,105054,16,Composite,Turnkey,384176868461,425910770035,0.108632,524,580,0.107547,239,10,0.9277,1,0.0201,4,0.2899,1218259549,1,0.1676,22.9,84.1
P000153,Building,40261,22,RC,Turnkey,232118843313,278282870989,0.198881,549,618,0.12702,182,9,0.5563,3,0.0337,4,0.3383,1564050972,1,0.2253,5.0,68.7
